Name,Reference (s),Full Address,Address,City,State,Country,ZIP,Current Status,Converted into?,Creation,Closure,Reason for closure,Owner,Films screened,Website,Notes
Plaza,FDYB1931 -FDYB1950,"1412 William St. , Buffalo, New York, United States, 14206",1412 William St. ,Buffalo,New York,United States,14206,Demolished,,1910,1962,,,,,
Savoy,FDYB1931 -,"625 William St. , Buffalo, New York, United States, 14206",625 William St. ,Buffalo,New York,United States,14206,,,1909,1957,,,,,Renamed to Roxy Theater in 1938
Star,FDYB1931 -,"539 William St. , Buffalo, New York, United States, 14204",539 William St. ,Buffalo,New York,United States,14204,Converted,church,1926,1935,,,,,
Biltmore,FDYB1950,"30 S. 5th Ave , Mount Vernon, New York, United States, 10550",30 S. 5th Ave ,Mount Vernon,New York,United States,10550,,,,,,,,https://cinematreasures.org/theaters/20762,renamed to Westchester in 1912
Astor,FDYB1950,"437 North Ave, New Rochelle, New York, United States, 10801",437 North Ave,New Rochelle,New York,United States,10801,Demolished,,1939,1957,,,,https://cinematreasures.org/theaters/54999,originally named Alden Theater until 1945
116th Street,FDYB1950,"132 W. 116th Street, New York City, New York, United States, 10026",132 W. 116th Street,New York City,New York,United States,10026,,,,,,,,,
Alhambra,"FDYB1931 - 1932, FDYB1950","2116 Adam Clayton Powell Jr Blvd, New York City, New York, United States, 10027",2116 Adam Clayton Powell Jr Blvd,New York City,New York,United States,10027,Converted,"restaurant, office space, bowling alley",1905,1964,,,,https://cinematreasures.org/theaters/3899,
Anco,FDYB1950,"254 W. 42nd Street, New York City, New York, United States, 10036",254 W. 42nd Street,New York City,New York,United States,10036,Demolished,,1904,1988,,,,https://cinematreasures.org/theaters/2960,"originally named Lew M. Fields theater, renamed Anco theater in 1940"
Apollo (Brooklyn),FDYB1950,"253 W 125th St, New York City, New York, United States, 10027",253 W 125th St,New York City,New York,United States,10027,Still Standing,,1934,,,,,https://www.apollotheater.org/history,
Banco,FDYB1950,"1298 Fulton Street, New York City, New York, United States, 11216",1298 Fulton Street,New York City,New York,United States,11216,,,1908,1976,,,,https://cinematreasures.org/theaters/35763,originally named Fulton Auditorium until 1948
Boston Road,FDYB1950,"1472 Boston Road, New York City, New York, United States, 10459",1472 Boston Road,New York City,New York,United States,10459,Converted,supermarket,1925,1952,,,,https://cinematreasures.org/theaters/6105,
Brevoort,FDYB1950,"1272 Bedford Avenue, New York City, New York, United States, 11216",1272 Bedford Avenue,New York City,New York,United States,11216,Demolished,,1918,1961,,,,https://cinematreasures.org/theaters/3949,
Bronx,FDYB1950,"436 E. 149th Street, New York City, New York, United States, 10455",436 E. 149th Street,New York City,New York,United States,10455,Converted,hotel,1913,1950,,,,https://cinematreasures.org/theaters/7917,originally named Bronx Opera House until 1935
Burland,FDYB1950,"985 Prospect Avenue, New York City, New York, United States, 10459",985 Prospect Avenue,New York City,New York,United States,10459,,,,,,,,,
Capitol,FDYB1950,"1645 Broadway, New York City, New York, United States, 10020",1645 Broadway,New York City,New York,United States,10020,Demolished,,1919,1968,,,,https://cinematreasures.org/theaters/522,
Chatham,FDYB1950,"18 Centre St, New York City, New York, United States, 10007",18 Centre St,New York City,New York,United States,10007,,,,,,,,,
Columbia,FDYB1950,"1324 Amsterdam Avenue, New York City, New York, United States, 10027",1324 Amsterdam Avenue,New York City,New York,United States,10027,,,,,,,,,
Comet,FDYB1950,"856 Gates Avenue, New York City, New York, United States, 11221",856 Gates Avenue,New York City,New York,United States,11221,,,1910,1955,,,,https://cinematreasures.org/theaters/8738,"originally named Gates Avenue Park Theater until 1916, renamed to U.S. Theater until 1926, renamed to Comet Theater in 1935"
Crescent,FDYB1931 -,"/, New York City, New York, United States, ",/,New York City,New York,United States,,,,,,,,,,
Douglas,FDYB1931 - 1932,"652 Lenox Avenue, New York City, New York, United States, 10037",652 Lenox Avenue,New York City,New York,United States,10037,Demolished,,1919,1922,,,,https://cinematreasures.org/theaters/14777,
Eagle,FDYB1950,"1852 3rd Avenue, New York City, New York, United States, 10029",1852 3rd Avenue,New York City,New York,United States,10029,,,,,,,,,
Fenway,FDYB1950,"1576 Washington Avenue, New York City, New York, United States, 10457",1576 Washington Avenue,New York City,New York,United States,10457,Demolished,,1921,,,,,https://cinematreasures.org/theaters/12051,renamed to Beneson Theater
Franklin,FDYB1931 - FDYB1950,"440 Lenox Avenue, New York City, New York, United States, 10037",440 Lenox Avenue,New York City,New York,United States,10037,Converted,church,,,,,,https://cinematreasures.org/theaters/14362,
Hamilton,FDYB1950,"226 W 46th St, New York City, New York, United States, 10036",226 W 46th St,New York City,New York,United States,10036,,,,,,,,,
Harlem Opera House,FDYB1950,"211 West 125th Street, New York City, New York, United States, 10027",211 West 125th Street,New York City,New York,United States,10027,,,,,,,,,
Jefferson,FDYB1950,"214 E. 14th Street, New York City, New York, United States, 10003",214 E. 14th Street,New York City,New York,United States,10003,,,,,,,,,
Kismet,FDYB1950,"785 DeKalb Avenue, New York City, New York, United States, 11206",785 DeKalb Avenue,New York City,New York,United States,11206,Demolished,,1922,1962,,,,https://cinematreasures.org/theaters/7822,
Lafayette,FDYB1931 -,"2227 Adam Clayton Powell Jr. Boulevard, New York City, New York, United States, 10027",2227 Adam Clayton Powell Jr. Boulevard,New York City,New York,United States,10027,,,,,,,,,
Lido,FDYB1950,"1763 Amsterdam Avenue, New York City, New York, United States, 10031",1763 Amsterdam Avenue,New York City,New York,United States,10031,,,,,,,,,
Lincoln,FDYB1931 - FDYB1950,"150 W 65th St, New York City, New York, United States, 10023",150 W 65th St,New York City,New York,United States,10023,,,,,,,,,
Lindy,FDYB1950,"118 Graham Avenue, New York City, New York, United States, 11206",118 Graham Avenue,New York City,New York,United States,11206,,,1909,1954,,,,https://cinematreasures.org/theaters/7883,"originally named Variety Theater, renamed Progress Theater in 1917, renamed Lindy Theater in 1933"
Morningside,FDYB1950,"100 La Salle St, New York City, New York, United States, 10027",100 La Salle St,New York City,New York,United States,10027,,,,,,,,,
Odeon,FDYB1931 - FDYB1950,"256 W. 145th Street, New York City, New York, United States, 10039",256 W. 145th Street,New York City,New York,United States,10039,,,,,,,,,
Orient,FDYB1950,"111 W. 125th Street, New York City, New York, United States, 10027",111 W. 125th Street,New York City,New York,United States,10027,,,,,,,,,
Palace,FDYB1950,"160 W 47th St, New York City, New York, United States, 10036",160 W 47th St,New York City,New York,United States,10036,Still Standing,,1913,,,,,https://cinematreasures.org/theaters/6635,
Park West,FDYB1950,"103 W. 99th Street, New York City, New York, United States, 10025",103 W. 99th Street,New York City,New York,United States,10025,,,,,,,,,
Peerless,FDYB1950,"433 Myrtle Avenue, New York City, New York, United States, 11205",433 Myrtle Avenue,New York City,New York,United States,11205,,,1914,1965,,,,https://cinematreasures.org/theaters/7090,
Plaza,FDYB1950,"42 E. 58th Street, New York City, New York, United States, 10022",42 E. 58th Street,New York City,New York,United States,10022,Converted,restaurant,1930,1996,,,,https://cinematreasures.org/theaters/6138,
Putnam (Brooklyn),FDYB1931 - 1932,"Fulton St. & Grand Ave, New York City, New York, United States, 11238",Fulton St. & Grand Ave,New York City,New York,United States,11238,,,,,,,,,
Regent,FDYB1950,"1912 7th Avenue, New York City, New York, United States, 10026",1912 7th Avenue,New York City,New York,United States,10026,Converted,church,1913,1963,,,,https://cinematreasures.org/theaters/6818,
Regent,FDYB1950,"1912 7th Avenue, New York City, New York, United States, 10026",1912 7th Avenue,New York City,New York,United States,10026,,,,,,,,,
Regun,FDYB1950,"247 W. 42nd St., New York City, New York, United States, 10036",247 W. 42nd St.,New York City,New York,United States,10036,,,,,,,,,
Renaissance,FDYB1931 - FDYB1950,"2343 Adam Clayton Powell Jr. Boulevard, New York City, New York, United States, 10030",2343 Adam Clayton Powell Jr. Boulevard,New York City,New York,United States,10030,,,,,,,,,
Reo,FDYB1950,"375 Mother Gaston Boulevard, New York City, New York, United States, 11212",375 Mother Gaston Boulevard,New York City,New York,United States,11212,Converted,store,1914,1957,,,,https://cinematreasures.org/theaters/8711,originally named New Singer Theater until 1941
Rogers,FDYB1950,"226 W 46th St, New York City, New York, United States, 10036",226 W 46th St,New York City,New York,United States,10036,,,,,,,,,
Roosevelt,FDYB1931 - FDYB1950,"2497 Adam Clayton Powell Jr. Boulevard, New York City, New York, United States, 10030",2497 Adam Clayton Powell Jr. Boulevard,New York City,New York,United States,10030,,,,,,,,,
Savoy Grant,FDYB1931 - 1932,"112 W. 34th St, New York City, New York, United States, 10120",112 W. 34th St,New York City,New York,United States,10120,,,,,,,,,
State,FDYB1950,"70 West 63rd Street, New York City, New York, United States, 10023",70 West 63rd Street,New York City,New York,United States,10023,,,,,,,,,
Subway,FDYB1950,"158 Myrtle Avenue, New York City, New York, United States, 11201",158 Myrtle Avenue,New York City,New York,United States,11201,Demolished,,1930s,,,,,https://cinematreasures.org/theaters/4087,
Sumner,FDYB1950,"265 Marcus Garvey Boulevard, New York City, New York, United States, 11221",265 Marcus Garvey Boulevard,New York City,New York,United States,11221,Converted,supermarket,1914,1967,,,,https://cinematreasures.org/theaters/12052,
Sunset,FDYB1950,"316 W. 125th Street, New York City, New York, United States, 10027",316 W. 125th Street,New York City,New York,United States,10027,,,,,,,,,
Tiffany,FDYB1950,"357 Chester Street, New York City, New York, United States, 11212",357 Chester Street,New York City,New York,United States,11212,,,1923,1956,,,,https://cinematreasures.org/theaters/11712,"originally opened as silent movie theater named Chester, renamed to Tiffany in 1929"
Tompkins,FDYB1950,"103 Avenue B, New York City, New York, United States, 10009",103 Avenue B,New York City,New York,United States,10009,Converted,bar/restaurant,1903,1910,,,,https://cinematreasures.org/theaters/22033,
Tower,FDYB1950,"1175 Boston Rd, New York City, New York, United States, 10456",1175 Boston Rd,New York City,New York,United States,10456,Converted,church,1914,,,,,https://cinematreasures.org/theaters/8048,"originally named crescent theater, changed to tower theater, then changed to carver theater"
Victoria,FDYB1950,"233 W 125th St, New York City, New York, United States, 10027",233 W 125th St,New York City,New York,United States,10027,,,,,,,,,
Victory,FDYB1950,"209 W. 42nd Street, New York City, New York, United States, 10036",209 W. 42nd Street,New York City,New York,United States,10036,,,,,,,,,
Washington,FDYB1950,"1805 Amsterdam Avenue, New York City, New York, United States, 10031",1805 Amsterdam Avenue,New York City,New York,United States,10031,,,,,,,,,
West End,FDYB1950,"362 W. 125th Street, New York City, New York, United States, 10027",362 W. 125th Street,New York City,New York,United States,10027,,,,,,,,,
Willis,FDYB1950,"250 Willis Ave, New York City, New York, United States, 10454",250 Willis Ave,New York City,New York,United States,10454,Converted,supermarket,1923,1939,,,,https://cinematreasures.org/theaters/8281,renamed Casino theater in 1939
Berkland,FDYB1927 -,"\, Aberdeen, North Carolina, United States, ",\,Aberdeen,North Carolina,United States,,,,,,,,,,
Victory,FDYB1950,"\, Albemarle, North Carolina, United States, ",\,Albemarle,North Carolina,United States,,,,,,,,,,
Strand,FDYB1950,"\, Asheboro, North Carolina, United States, ",\,Asheboro,North Carolina,United States,,,,,,,,,,
Eagle,FDYB1931 -FDYB1950,"51 Eagle Street, Asheville, North Carolina, United States, 28805",51 Eagle Street,Asheville,North Carolina,United States,28805,,,1928,1955,,,,https://cinematreasures.org/theaters/18437,
Star,FDYB1925,"22 Eagle Street, Asheville, North Carolina, United States, 28801",22 Eagle Street,Asheville,North Carolina,United States,28801,,,1917,1920,The building was demolished in order to build the Asheville Municipal Building,Ideal Amusement Co,,https://cinematreasures.org/theaters/42723,
Levon,FDYB1950,"Commerce St, Aulander, North Carolina, United States, 27805",Commerce St,Aulander,North Carolina,United States,27805,,,,,,,,https://www.cinematour.com/theatres/us/nc/1.html,
Dreamland,FDYB1931 - 1932,"\, Badin, North Carolina, United States, ",\,Badin,North Carolina,United States,,,,,,,,,,
Bailey,FDYB1950,"\, Bailey, North Carolina, United States, ",\,Bailey,North Carolina,United States,,,,,,,,,,
Dixie,FDYB1931 - 1932,"\, Bath, North Carolina, United States, ",\,Bath,North Carolina,United States,,,,,,,,,,
Rex,FDYB1950,"\, Beaufort, North Carolina, United States, ",\,Beaufort,North Carolina,United States,,,,,,,,,,
Sea Breeze,FDYB1950,"Front Street, Beaufort, North Carolina, United States, 28516",Front Street,Beaufort,North Carolina,United States,28516,,,1911,1948,,"William L. Paul, Everett Enterprises Theatre Circuit of Charlotte",,https://www.cinematreasures.org/theaters/70701,
Wonit,FDYB1950,"Main Street, Bladenboro, North Carolina, United States, 28320",Main Street,Bladenboro,North Carolina,United States,28320,,,,,,,,,
Ace,FDYB1950,"\, Burlington, North Carolina, United States, 28320",\,Burlington,North Carolina,United States,28320,Demolished,,,,,,,,
Dixie,FDYB1931 - 1932,"\, Burlington, North Carolina, United States, ",\,Burlington,North Carolina,United States,,,,,,,,,,
Star Light,FDYB1931 - 1932,"\, Cameron, North Carolina, United States, ",\,Cameron,North Carolina,United States,,,,,,,,,,
Standard,FDYB1931 -FDYB1950,"601 West Franklin Street, Chapel Hill, North Carolina, United States, 27516",601 West Franklin Street,Chapel Hill,North Carolina,United States,27516,,,1924,1937,"It may was likely demolished by the time Harriss-Conners utilized the property as a used car lot, sometime between 1957 and 1959. Today, the site is (still) a used car lot at 601 West Franklin Street.", Durwood O'Kelly,,https://openorangenc.org/buildings/601-w-franklin-st-standard-theater,
Astor,FDYB1950,"511 E. 36th Street, Charlotte, North Carolina, United States, 28205",511 E. 36th Street,Charlotte,North Carolina,United States,28205,,,1948,1965,,,,https://cinematreasures.org/theaters/8155,
Brookdale Drive-In,FDYB1950,"\, Charlotte, North Carolina, United States, ",\,Charlotte,North Carolina,United States,,,,,,,,,,
Grand,FDYB1950,"333 Beatties Ford Road, Charlotte, North Carolina, United States, 28216",333 Beatties Ford Road,Charlotte,North Carolina,United States,28216,,,1937,1967,,,,"http://landmarkscommission.org/2016/11/09/grand-theater/#:~:text=The%20Grand%20Theater%20remained%20open,attendance%20declined%20in%20the%201960s.",
Lincoln,FDYB1933 - FDYB1950,"408 E. 2nd Street, Charlotte, North Carolina, United States, 28202",408 E. 2nd Street,Charlotte,North Carolina,United States,28202,,,1922,1961,,,,https://cinematreasures.org/theaters/7514,"The first of five former “Negroes Only” theatres to be built in Charlotte during the era of Jim Crow.

Opened as the Rex Theatre by 1922. It was a vaudeville theatre presenting acts by TOBA. It also featured movies from 1931 and was renamed Lincoln Theatre in 1933. It was modernised in 1940 to the plans of architect Louis F. Asbury. It was operated by the Bijou Amusement Company. It operated until 1961."
